;baseMean;log2FoldChange;lfcSE;pvalue;padj;symbol;entrez
ENSG00000152583;997.4397732;4.563347065;0.185619898;2.22E-136;4.00E-132;SPARCL1;8404
ENSG00000165995;495.0929067;3.280352311;0.133330867;7.84E-135;7.05E-131;CACNB2;783
ENSG00000120129;3409.029375;2.937993514;0.122027771;3.67E-130;2.20E-126;DUSP1;1843
ENSG00000101347;12703.38706;3.753517918;0.157054428;9.58E-130;4.31E-126;SAMHD1;25939
ENSG00000189221;2341.767253;3.342186435;0.143093947;1.10E-123;3.96E-120;MAOA;4128
ENSG00000211445;12285.61515;3.71695197;0.167889677;4.62E-112;1.38E-108;GPX3;2878
ENSG00000157214;3009.263223;1.968289037;0.090184332;5.77E-107;1.48E-103;STEAP2;261729
ENSG00000162614;5393.101683;2.028028282;0.094467007;1.32E-103;2.98E-100;NEXN;91624
ENSG00000125148;3656.252782;2.203246751;0.106042355;2.90E-97;5.80E-94;MT2A;4502
ENSG00000154734;30315.13547;2.345042747;0.116193844;3.26E-91;5.87E-88;ADAMTS1;9510
ENSG00000139132;1223.466141;2.217248342;0.113232605;7.58E-87;1.24E-83;FGD4;121512
ENSG00000162493;1099.625866;1.882125385;0.095990419;8.77E-87;1.31E-83;PDPN;10630
ENSG00000134243;5510.958256;2.182613318;0.112591686;1.45E-85;2.01E-82;SORT1;6272
ENSG00000179094;776.5966655;3.174622703;0.165326523;2.12E-84;2.73E-81;PER1;5187
ENSG00000162692;508.1702324;-3.673843637;0.19202691;5.64E-84;6.77E-81;VCAM1;7412
ENSG00000163884;561.1071661;4.433642888;0.237481067;2.23E-80;2.50E-77;KLF15;28999
ENSG00000178695;2649.850149;-2.511941145;0.135441105;6.67E-79;7.06E-76;KCTD12;115207
ENSG00000198624;2057.191731;2.900506145;0.163134733;3.58E-73;3.58E-70;CCDC69;26112
ENSG00000107562;25136.30757;-1.899759824;0.106126875;4.79E-73;4.53E-70;CXCL12;6387
ENSG00000148848;1365.173986;-1.80408541;0.100830666;6.81E-73;6.13E-70;ADAM12;8038
ENSG00000146250;313.6899778;-2.739277222;0.15532012;7.72E-71;6.62E-68;PRSS35;167681
ENSG00000106976;884.745883;-1.745412545;0.099970726;1.93E-69;1.58E-66;DNM1;1759
ENSG00000154930;670.0467035;1.886582223;0.109012517;2.48E-68;1.94E-65;ACSS1;84532
ENSG00000163394;1216.602065;-2.173690017;0.125970405;3.54E-68;2.65E-65;CCKAR;886
ENSG00000253368;1040.17649;1.973235552;0.114939105;1.27E-67;9.15E-65;TRNP1;388610
ENSG00000163661;8565.701164;2.244639783;0.131836048;6.38E-67;4.42E-64;PTX3;5806
ENSG00000162616;1467.635827;1.509981031;0.088186116;7.75E-67;5.16E-64;DNAJB4;11080
ENSG00000148175;11193.71877;1.443683227;0.084608253;4.71E-66;3.02E-63;STOM;2040
ENSG00000124766;1281.468658;-2.394846049;0.141990656;8.88E-66;5.51E-63;SOX4;6659
ENSG00000197381;1969.048356;2.309983857;0.136774382;1.54E-65;9.26E-63;ADARB1;104
ENSG00000172403;8014.781651;1.732052546;0.103794587;5.55E-64;3.22E-61;SYNPO2;171024
ENSG00000116285;3232.635437;2.407809993;0.145655799;2.26E-63;1.27E-60;ERRFI1;54206
ENSG00000163083;418.9214766;3.424725245;0.210836287;2.54E-61;1.39E-58;INHBB;3625
ENSG00000166741;7432.936352;2.171402508;0.135653863;1.70E-59;8.97E-57;NNMT;4837
ENSG00000070404;2128.114025;1.802697835;0.113973523;1.03E-57;5.31E-55;FSTL3;10272
ENSG00000105989;333.2146882;-3.017606619;0.192196754;6.87E-57;3.43E-54;WNT2;7472
ENSG00000122035;943.3405742;2.271753053;0.14588174;3.15E-56;1.53E-53;RASL11A;387496
ENSG00000119139;5029.851421;1.912728688;0.123125685;4.86E-56;2.30E-53;TJP2;9414
ENSG00000136478;3701.528598;1.455399978;0.093514018;8.26E-56;3.81E-53;TEX2;55852
ENSG00000196569;17178.42604;2.01328089;0.133921584;7.36E-53;3.31E-50;LAMA2;3908
ENSG00000108821;100990.6944;-1.298015118;0.085747235;1.27E-52;5.58E-50;COL1A1;1277
ENSG00000221866;847.493946;2.721960172;0.183999098;8.98E-52;3.85E-49;PLXNA4;91584
ENSG00000100242;2236.238321;1.844246812;0.123778363;1.20E-51;5.03E-49;SUN2;25777
ENSG00000145685;2018.163688;-1.231308171;0.082256017;1.32E-51;5.39E-49;LHFPL2;10184
ENSG00000134686;2737.981986;1.376322565;0.092204541;1.41E-51;5.63E-49;PHC2;1912
ENSG00000172986;756.3668291;-1.558257604;0.104658741;2.07E-51;8.09E-49;GXYLT2;727936
ENSG00000102804;5397.336845;1.19257773;0.080109794;3.65E-51;1.40E-48;TSC22D1;8848
ENSG00000060718;363.762294;2.406329298;0.16285921;6.35E-51;2.38E-48;COL11A1;1301
ENSG00000099337;530.060485;2.695064357;0.183095358;7.90E-51;2.90E-48;KCNK6;9424
ENSG00000126803;449.1768482;2.435576119;0.165643662;1.51E-50;5.42E-48;HSPA2;3306
ENSG00000157150;167.6155057;2.919823828;0.198117453;2.12E-50;7.49E-48;TIMP4;7079
ENSG00000133142;3055.973848;1.525752105;0.104166943;7.13E-50;2.47E-47;TCEAL4;79921
ENSG00000138316;799.5685841;-2.485126566;0.171336212;9.34E-50;3.17E-47;ADAMTS14;140766
ENSG00000103196;3082.069135;2.607203434;0.182762275;1.42E-48;4.72E-46;CRISPLD2;83716
ENSG00000131389;740.4108031;-2.104188085;0.146498389;1.78E-48;5.82E-46;SLC6A6;6533
ENSG00000152268;1597.838922;1.895908122;0.132115051;3.03E-48;9.75E-46;NA;NA
ENSG00000168309;159.5269198;4.791592776;0.33241522;3.83E-48;1.21E-45;FAM107A;11170
ENSG00000163171;1357.571541;1.492377374;0.103789689;4.11E-48;1.27E-45;CDC42EP3;10602
ENSG00000124440;197.0436228;2.506655749;0.174864405;9.46E-48;2.89E-45;HIF3A;64344
ENSG00000141401;627.527233;2.304281258;0.162296121;1.87E-47;5.61E-45;IMPA2;3613
ENSG00000103742;370.8298226;-2.177181221;0.153077495;2.77E-47;8.18E-45;IGDCC4;57722
ENSG00000112837;2754.968128;-1.816699437;0.128395859;5.27E-47;1.53E-44;TBX18;9096
ENSG00000164647;1920.71013;1.552864781;0.110007185;1.45E-46;4.13E-44;STEAP1;26872
ENSG00000068383;1247.241852;1.369668021;0.097419224;5.80E-46;1.63E-43;INPP5A;3632
ENSG00000156675;1631.877858;1.533052879;0.110067758;2.24E-45;6.21E-43;RAB11FIP1;80223
ENSG00000136999;435.7127167;-2.525753114;0.184828282;2.51E-44;6.84E-42;CCN3;4856
ENSG00000206538;12754.94768;1.354151809;0.098513993;3.31E-44;8.88E-42;VGLL3;389136
ENSG00000227051;4615.740068;-1.140760394;0.083079702;5.62E-44;1.49E-41;C14orf132;56967
ENSG00000134363;2906.341053;-1.788657442;0.131964588;1.92E-43;5.00E-41;FST;10468
ENSG00000196517;229.6407427;-2.206589728;0.162220588;1.98E-43;5.09E-41;SLC6A9;6536
ENSG00000124762;8020.528817;-0.999990657;0.07333413;3.11E-43;7.88E-41;CDKN1A;1026
ENSG00000149218;2027.185731;1.906374095;0.141651377;6.26E-43;1.56E-40;ENDOD1;23052
ENSG00000109906;385.0710289;7.27319182;0.543825013;9.14E-43;2.25E-40;ZBTB16;7704
ENSG00000185432;3885.64924;2.226951285;0.166688334;1.25E-42;3.04E-40;METTL7A;25840
ENSG00000163378;1805.28931;1.2497558;0.09283307;2.00E-42;4.79E-40;EOGT;285203
ENSG00000167641;231.6716163;2.865990138;0.215241999;2.82E-42;6.67E-40;PPP1R14A;94274
ENSG00000196975;4908.818152;1.173911772;0.087549799;4.24E-42;9.92E-40;ANXA4;307
ENSG00000106484;677.2132387;-1.843996836;0.138288466;5.73E-42;1.32E-39;MEST;4232
ENSG00000126016;386.4151621;-2.348435369;0.177012303;7.52E-42;1.71E-39;AMOT;154796
ENSG00000151726;1460.178003;1.583510306;0.119120678;9.50E-42;2.14E-39;ACSL1;2180
ENSG00000150907;678.868175;2.203548154;0.166674171;1.35E-41;2.99E-39;FOXO1;2308
ENSG00000130513;451.0047653;-1.848579682;0.139505818;1.93E-41;4.23E-39;GDF15;9518
ENSG00000221869;1963.574299;1.485651524;0.111974827;1.99E-41;4.30E-39;CEBPD;1052
ENSG00000169715;554.1946413;2.200766888;0.168781508;1.30E-40;2.78E-38;MT1E;4493
ENSG00000147027;12593.32959;1.152481191;0.087716053;1.44E-40;3.04E-38;TMEM47;83604
ENSG00000145390;8442.05372;2.122984291;0.163862584;2.21E-40;4.62E-38;USP53;54532
ENSG00000185950;1974.883079;2.101650243;0.162168614;3.14E-40;6.48E-38;IRS2;8660
ENSG00000013293;244.4973262;-2.8487406;0.220820506;9.41E-40;1.92E-37;SLC7A14;57709
ENSG00000131831;1017.175972;1.41344551;0.109196179;1.99E-39;4.02E-37;RAI2;10742
ENSG00000146122;1942.414434;1.662870949;0.130074288;7.07E-39;1.41E-36;DAAM2;23500
ENSG00000137672;655.4494368;1.931317131;0.15139638;8.40E-39;1.66E-36;TRPC6;7225
ENSG00000020577;3105.005556;1.191163155;0.092912274;1.04E-38;2.03E-36;SAMD4A;23034
ENSG00000119138;1683.268208;2.058698348;0.162712049;1.68E-38;3.24E-36;KLF9;687
ENSG00000138735;6850.269517;-1.16595917;0.091371359;1.94E-38;3.71E-36;PDE5A;8654
ENSG00000163110;1314.184325;1.587829389;0.124888568;2.19E-38;4.15E-36;PDLIM5;10611
ENSG00000071282;3659.868843;1.587067591;0.125769712;6.00E-38;1.12E-35;LMCD1;29995
ENSG00000101825;4767.149447;-1.306852176;0.103838446;1.15E-37;2.13E-35;MXRA5;25878
ENSG00000162407;25853.66202;-0.991248222;0.07856401;1.72E-37;3.16E-35;PLPP3;8613
ENSG00000163513;13216.6476;1.440521322;0.115659952;4.81E-37;8.74E-35;TGFBR2;7048
ENSG00000246430;2162.538815;2.031732973;0.163711531;5.59E-37;1.01E-34;LINC00968;100507632
ENSG00000163431;4934.730102;1.149448674;0.092188651;7.14E-37;1.27E-34;LMOD1;25802
ENSG00000046653;1090.458257;2.366073284;0.1930814;2.01E-36;3.55E-34;GPM6B;2824
ENSG00000106617;1018.352987;1.598490703;0.129683124;3.11E-36;5.44E-34;PRKAG2;51422
ENSG00000099998;506.2447667;2.351719296;0.192497212;4.10E-36;7.07E-34;GGT5;2687
ENSG00000137809;1115.800033;-1.699857362;0.138475503;4.12E-36;7.07E-34;ITGA11;22801
ENSG00000115457;1919.148503;2.185052727;0.183503626;9.74E-35;1.65E-32;IGFBP2;3485
ENSG00000160200;834.066631;1.234000244;0.102723971;5.06E-34;8.52E-32;CBS;875
ENSG00000174306;3234.852513;1.117657309;0.093740076;7.43E-34;1.24E-31;ZHX3;23051
ENSG00000128923;1415.678426;1.026042936;0.0860436;8.61E-34;1.42E-31;MINDY2;54629
ENSG00000123562;5040.482678;1.0152929;0.085268976;9.30E-34;1.52E-31;MORF4L2;9643
ENSG00000214814;243.2769765;-3.01792708;0.255767307;9.77E-34;1.58E-31;FER1L6;654463
ENSG00000125868;15848.9769;0.910786629;0.076112353;1.17E-33;1.88E-31;DSTN;11034
ENSG00000162772;373.5117952;1.893133415;0.160366816;1.56E-33;2.48E-31;ATF3;467
ENSG00000164125;5596.349667;1.111493222;0.093988635;2.30E-33;3.63E-31;GASK1B;51313
ENSG00000119508;216.6737418;2.04418322;0.174105401;2.93E-33;4.59E-31;NR4A3;8013
ENSG00000173918;992.6593995;1.237517586;0.104977727;3.33E-33;5.16E-31;C1QTNF1;114897
ENSG00000109861;4058.013382;1.00454867;0.085364582;4.20E-33;6.46E-31;CTSC;1075
ENSG00000114098;1010.293461;1.32970005;0.113254375;5.24E-33;7.98E-31;ARMC8;25852
ENSG00000145777;152.3725442;-2.743499339;0.234978546;7.02E-33;1.06E-30;TSLP;85480
ENSG00000077684;1570.63461;1.18407407;0.101395208;1.10E-32;1.64E-30;JADE1;79960
ENSG00000139289;1975.867322;-0.980138599;0.083686253;1.13E-32;1.68E-30;PHLDA1;22822
ENSG00000114270;1546.906997;1.218082793;0.104438193;1.43E-32;2.11E-30;COL7A1;1294
ENSG00000103485;865.2054493;-1.196144634;0.102972934;2.62E-32;3.83E-30;QPRT;23475
ENSG00000164442;7510.525872;1.524258868;0.133235657;5.56E-32;8.07E-30;CITED2;10370
ENSG00000138829;15701.27529;1.892355184;0.165938623;5.89E-32;8.48E-30;FBN2;2201
ENSG00000155130;5654.056964;-1.176983056;0.101943452;6.05E-32;8.64E-30;NA;NA
ENSG00000110756;995.2515371;1.554952512;0.135725427;9.64E-32;1.37E-29;HPS5;11234
ENSG00000144369;1303.272745;-1.329618713;0.116138486;1.43E-31;2.02E-29;FAM171B;165215
ENSG00000143320;1492.125566;-1.613804658;0.141815947;1.80E-31;2.51E-29;CRABP2;1382
ENSG00000181467;630.8741853;-1.255321048;0.110612313;6.01E-31;8.31E-29;RAP2B;5912
ENSG00000196507;988.8426857;1.042064659;0.09238816;1.73E-30;2.37E-28;TCEAL3;85012
ENSG00000008256;3716.577382;1.167285529;0.103922798;2.01E-30;2.74E-28;CYTH3;9265
ENSG00000116584;2250.596949;-1.002149362;0.089688401;4.98E-30;6.73E-28;ARHGEF2;9181
ENSG00000140545;9199.626731;1.098987728;0.098815857;1.13E-29;1.52E-27;MFGE8;4240
ENSG00000154864;153.2347937;-2.526637084;0.232910655;6.95E-29;9.26E-27;PIEZO2;63895
ENSG00000072958;2129.434435;1.070693317;0.098241278;1.04E-28;1.38E-26;AP1M1;8907
ENSG00000146592;669.4012931;-2.012894549;0.187596182;1.12E-28;1.47E-26;CREB5;9586
ENSG00000177283;115.0851705;2.448547523;0.226354048;1.29E-28;1.68E-26;FZD8;8325
ENSG00000205978;1601.046592;-1.138681327;0.10555354;2.66E-28;3.45E-26;NYNRIN;57523
ENSG00000136546;4991.268371;1.34756935;0.12552547;3.57E-28;4.59E-26;SCN7A;6332
ENSG00000243244;996.1751419;1.390491667;0.129489218;3.76E-28;4.79E-26;STON1;11037
ENSG00000133216;344.0561242;-1.741854487;0.162636577;3.79E-28;4.80E-26;EPHB2;2048
ENSG00000096060;2564.362227;3.969806737;0.382810054;7.13E-28;8.97E-26;FKBP5;2289
ENSG00000092621;1231.102428;-1.402659163;0.131964692;9.17E-28;1.15E-25;PHGDH;26227
ENSG00000187498;2283.83181;1.294984643;0.121713109;1.02E-27;1.26E-25;COL4A1;1282
ENSG00000166482;26348.27692;-0.953949827;0.089233312;1.04E-27;1.29E-25;MFAP4;4239
ENSG00000123243;13780.72946;-0.941268195;0.088460823;1.75E-27;2.12E-25;ITIH5;80760
ENSG00000163491;160.225059;-2.453545588;0.232622706;1.75E-27;2.12E-25;NEK10;152110
ENSG00000165507;18353.57459;1.529283892;0.145530651;2.71E-27;3.27E-25;DEPP1;11067
ENSG00000183160;2987.67072;-1.155039072;0.109332401;2.91E-27;3.49E-25;TMEM119;338773
ENSG00000233117;77.63183524;3.330981559;0.317132661;4.49E-27;5.35E-25;NA;NA
ENSG00000127083;304.4768108;1.782996261;0.170224342;5.08E-27;6.02E-25;OMD;4958
ENSG00000177666;1701.23388;1.084069769;0.103120093;6.57E-27;7.73E-25;PNPLA2;57104
ENSG00000069431;849.1013717;1.041357033;0.099230048;8.93E-27;1.04E-24;ABCC9;10060
ENSG00000131386;11496.48621;1.588589056;0.153367379;1.04E-26;1.21E-24;GALNT15;117248
ENSG00000102466;664.6835729;1.198006611;0.114653469;1.09E-26;1.26E-24;FGF14;2259
ENSG00000162496;3691.999701;1.071205434;0.102436367;1.14E-26;1.31E-24;DHRS3;9249
ENSG00000180914;568.7034974;1.843734313;0.178090151;1.72E-26;1.96E-24;OXTR;5021
ENSG00000177674;751.3732953;1.09729103;0.105398378;1.85E-26;2.10E-24;AGTRAP;57085
ENSG00000099204;848.5850609;1.403665305;0.136142679;3.16E-26;3.55E-24;ABLIM1;3983
ENSG00000197043;14120.99896;0.91205912;0.087625122;3.75E-26;4.19E-24;ANXA6;309
ENSG00000127954;286.3841193;5.112807985;0.508273572;4.55E-26;5.05E-24;STEAP4;79689
ENSG00000148120;743.999875;1.086913585;0.10557563;6.67E-26;7.36E-24;AOPEP;84909
ENSG00000169738;627.449247;2.060608463;0.203858429;7.37E-26;8.09E-24;DCXR;51181
ENSG00000126878;93.26052686;-2.619783987;0.255903636;8.00E-26;8.72E-24;AIF1L;83543
ENSG00000112773;516.8007848;-1.178815869;0.114839025;8.26E-26;8.95E-24;TENT5A;55603
ENSG00000091527;4870.591432;0.755236083;0.073348867;1.13E-25;1.22E-23;CDV3;55573
ENSG00000035664;633.0429027;1.654301132;0.163465945;1.49E-25;1.60E-23;DAPK2;23604
ENSG00000023909;1927.71101;1.201742227;0.11808004;1.64E-25;1.74E-23;GCLM;2730
ENSG00000125848;178.6544504;-2.435652134;0.242906754;1.87E-25;1.98E-23;FLRT3;23767
ENSG00000131446;5362.006742;0.853247166;0.083666091;2.56E-25;2.69E-23;MGAT1;4245
ENSG00000138073;1697.491981;1.083974625;0.106779174;2.73E-25;2.85E-23;PREB;10113
ENSG00000110900;262.8052753;-1.439644963;0.142068979;2.89E-25;3.01E-23;TSPAN11;441631
ENSG00000164742;353.7994783;-2.540004978;0.256131544;2.93E-25;3.03E-23;ADCY1;107
ENSG00000163697;2266.274502;1.062934299;0.104830908;3.02E-25;3.11E-23;APBB2;323
ENSG00000174136;2831.703013;-0.95508026;0.094304619;4.37E-25;4.46E-23;RGMB;285704
ENSG00000120837;1841.388113;1.020816938;0.100795774;4.52E-25;4.60E-23;NFYB;4801
ENSG00000164292;14399.5506;1.037634802;0.102053878;5.34E-25;5.40E-23;RHOBTB3;22836
ENSG00000132356;2383.877083;0.854358746;0.084651737;7.17E-25;7.21E-23;PRKAA1;5562
ENSG00000152580;5992.504557;-1.136172467;0.113463024;8.87E-25;8.87E-23;IGSF10;285313
ENSG00000183044;498.6904216;1.137492711;0.113396128;9.70E-25;9.64E-23;ABAT;18
ENSG00000013297;3431.572643;-1.741957;0.17648508;1.11E-24;1.09E-22;CLDN11;5010
ENSG00000172061;231.2773027;-2.506501133;0.254730511;1.14E-24;1.12E-22;LRRC15;131578
ENSG00000102554;149.5529137;2.435233576;0.24579612;1.25E-24;1.22E-22;KLF5;688
ENSG00000173221;1983.221558;0.989659977;0.098826093;1.47E-24;1.43E-22;GLRX;2745
ENSG00000099194;785.211998;-1.95374345;0.199239858;1.50E-24;1.46E-22;SCD;6319
ENSG00000164070;591.684378;-1.298490246;0.130784906;1.86E-24;1.79E-22;HSPA4L;22824
ENSG00000152601;5822.549085;0.85048753;0.085261902;2.84E-24;2.72E-22;MBNL1;4154
ENSG00000008311;721.9420892;1.077212993;0.108672847;3.26E-24;3.10E-22;AASS;10157
ENSG00000237697;126.7945725;1.986311821;0.201491211;3.99E-24;3.78E-22;NA;NA
ENSG00000126950;786.1160828;-1.674618063;0.171484633;4.56E-24;4.29E-22;TMEM35A;59353
ENSG00000173068;2793.384646;-0.855525386;0.086420618;5.27E-24;4.94E-22;BNC2;54796
ENSG00000170624;2121.080393;-1.117037802;0.113619422;5.77E-24;5.38E-22;SGCD;6444
ENSG00000088756;685.7232391;-1.617495404;0.165955592;6.75E-24;6.26E-22;ARHGAP28;79822
ENSG00000103502;3319.869089;0.814216602;0.082265452;9.35E-24;8.63E-22;CDIPT;10423
ENSG00000177614;133.1503397;-2.518372152;0.260567733;9.77E-24;8.97E-22;PGBD5;79605
ENSG00000118689;5165.486679;1.237677255;0.127110842;1.17E-23;1.07E-21;FOXO3;2309
ENSG00000164484;816.7940976;-1.18458105;0.12152719;1.33E-23;1.21E-21;TMEM200A;114801
ENSG00000128510;164.0454305;-2.21586364;0.22882411;1.46E-23;1.32E-21;CPA4;51200
ENSG00000181061;2420.904283;1.179242004;0.121354709;1.65E-23;1.49E-21;HIGD1A;25994
ENSG00000198431;22734.55334;1.469957285;0.152703507;1.79E-23;1.60E-21;TXNRD1;7296
ENSG00000081052;207.1346427;1.874922785;0.193889302;1.90E-23;1.69E-21;COL4A4;1286
ENSG00000173517;7990.512347;0.97167762;0.100104693;2.32E-23;2.06E-21;PEAK1;79834
ENSG00000113580;2811.335386;-0.962165301;0.099323082;2.55E-23;2.25E-21;NR3C1;2908
ENSG00000132970;1322.81532;1.088720622;0.112297315;2.60E-23;2.28E-21;WASF3;10810
ENSG00000127824;228.7186319;-1.530798298;0.158583628;2.82E-23;2.46E-21;TUBA4A;7277
ENSG00000179820;3784.353835;1.468083892;0.153419409;3.37E-23;2.93E-21;MYADM;91663
ENSG00000136436;3129.160742;1.114635856;0.1156456;3.71E-23;3.21E-21;CALCOCO2;10241
ENSG00000167992;251.5437977;-1.496173618;0.155610178;4.69E-23;4.04E-21;VWCE;220001
ENSG00000106123;2287.858341;1.380277481;0.144406454;4.93E-23;4.22E-21;EPHB6;2051
ENSG00000134253;136.9215861;-1.919080799;0.200216774;5.54E-23;4.72E-21;TRIM45;80263
ENSG00000003402;2546.614197;1.168325147;0.121876759;5.66E-23;4.81E-21;CFLAR;8837
ENSG00000134318;4538.368983;0.796095251;0.082334796;5.73E-23;4.84E-21;ROCK2;9475
ENSG00000143891;528.3911975;-1.096701946;0.113991249;5.99E-23;5.04E-21;GALM;130589
ENSG00000167552;9310.145191;-1.190083683;0.124701676;6.74E-23;5.64E-21;TUBA1A;7846
ENSG00000137962;4500.606952;1.131963024;0.118471995;6.86E-23;5.71E-21;ARHGAP29;9411
ENSG00000071242;11135.3639;0.907598153;0.094762179;9.35E-23;7.76E-21;RPS6KA2;6196
ENSG00000145675;3495.18501;1.512495716;0.160219053;1.09E-22;9.00E-21;PIK3R1;5295
ENSG00000165272;138.5731859;-2.853982592;0.306039644;1.70E-22;1.39E-20;AQP3;360
ENSG00000106615;2192.917348;0.934357746;0.097847784;1.95E-22;1.60E-20;RHEB;6009
ENSG00000145244;167.0136171;1.88791695;0.200400906;2.27E-22;1.85E-20;CORIN;10699
ENSG00000140807;96.22066543;2.376404871;0.253758707;3.98E-22;3.22E-20;NKD1;85407
ENSG00000198542;3506.936566;1.018124978;0.107263355;4.13E-22;3.34E-20;ITGBL1;9358
ENSG00000128699;1855.279121;0.979901005;0.104180432;4.66E-22;3.74E-20;ORMDL1;94101
ENSG00000120690;1383.589227;0.899760623;0.095586783;5.41E-22;4.33E-20;ELF1;1997
ENSG00000128342;153.1218497;-2.541840357;0.278790103;6.58E-22;5.24E-20;LIF;3976
ENSG00000103175;250.4571744;1.719450047;0.185451752;7.71E-22;6.11E-20;WFDC1;58189
ENSG00000111859;1772.545933;1.593532014;0.172472946;8.34E-22;6.58E-20;NEDD9;4739
ENSG00000168542;82662.16899;-0.837934844;0.089534104;1.12E-21;8.83E-20;COL3A1;1281
ENSG00000116991;119.8552278;-2.525932222;0.273971454;1.13E-21;8.86E-20;SIPA1L2;57568
ENSG00000169218;643.1943334;1.374823149;0.148647347;1.15E-21;8.93E-20;RSPO1;284654
ENSG00000140105;2493.985111;-1.280148352;0.138405984;1.22E-21;9.48E-20;WARS1;7453
ENSG00000033867;2313.678941;-0.909716068;0.097784776;1.45E-21;1.12E-19;SLC4A7;9497
ENSG00000084090;3609.485529;1.225005604;0.132786614;1.56E-21;1.20E-19;STARD7;56910
ENSG00000185813;468.2537275;1.094692899;0.118201944;1.77E-21;1.35E-19;PCYT2;5833
ENSG00000100784;87.32382866;-2.451069451;0.266925541;1.90E-21;1.45E-19;RPS6KA5;9252
ENSG00000173838;47.35245529;3.816065244;0.412861878;2.01E-21;1.53E-19;MARCHF10;162333
ENSG00000185022;648.3416987;1.241829022;0.134893288;2.17E-21;1.64E-19;MAFF;23764
ENSG00000175130;620.1911636;-1.103673543;0.119298978;2.22E-21;1.68E-19;MARCKSL1;65108
ENSG00000129116;21202.58264;0.831689434;0.09018772;2.79E-21;2.09E-19;PALLD;23022
ENSG00000182552;978.4068235;1.091977352;0.118754332;2.92E-21;2.18E-19;RWDD4;201965
ENSG00000138604;1443.51596;0.905491942;0.098260887;3.62E-21;2.69E-19;GLCE;26035
ENSG00000124151;1569.910289;1.328510055;0.146019042;4.45E-21;3.30E-19;NCOA3;8202
ENSG00000083223;1486.907238;1.086776067;0.118798515;4.55E-21;3.36E-19;TUT7;79670
ENSG00000128311;316.4092297;1.270722654;0.138993811;4.71E-21;3.46E-19;TST;7263
ENSG00000157514;2205.705792;3.117541989;0.350022888;4.74E-21;3.47E-19;TSC22D3;1831
ENSG00000116132;5566.262349;-0.757016277;0.082454428;6.07E-21;4.42E-19;PRRX1;5396
ENSG00000131771;95.4197864;-2.929801498;0.323090665;6.23E-21;4.52E-19;PPP1R1B;84152
ENSG00000107796;2427.809962;1.121207621;0.123410834;7.84E-21;5.67E-19;ACTA2;59
ENSG00000100033;55.36313692;4.77870171;0.526257293;7.94E-21;5.71E-19;PRODH;5625
ENSG00000108604;2178.071694;1.215412875;0.134932042;8.93E-21;6.40E-19;SMARCD2;6603
ENSG00000250978;56.31819393;6.184840525;0.664798561;1.01E-20;7.20E-19;NA;NA
ENSG00000117461;215.5107519;-1.662669157;0.185405488;1.62E-20;1.15E-18;PIK3R3;8503
ENSG00000172260;1335.025989;1.417855223;0.158878928;1.70E-20;1.20E-18;NEGR1;257194
ENSG00000169764;3226.468668;0.871762776;0.096441647;1.79E-20;1.26E-18;UGP2;7360
ENSG00000186594;1373.785095;0.825183816;0.091355381;2.15E-20;1.51E-18;MIR22HG;84981
ENSG00000176771;107.6521791;-2.169615826;0.24344435;2.22E-20;1.55E-18;NCKAP5;344148
ENSG00000196950;808.7480175;-1.200597772;0.134168993;2.25E-20;1.57E-18;SLC39A10;57181
ENSG00000116711;111.9699482;-2.393163248;0.268760297;2.27E-20;1.58E-18;PLA2G4A;5321
ENSG00000166825;4198.98449;1.040765971;0.11606259;2.30E-20;1.59E-18;ANPEP;290
ENSG00000171132;401.5944685;-1.175217256;0.131423787;2.90E-20;2.00E-18;PRKCE;5581
ENSG00000169744;616.8455462;-1.306154308;0.147074849;3.58E-20;2.46E-18;LDB2;9079
ENSG00000157613;2782.528626;-0.962742201;0.107822809;3.77E-20;2.58E-18;CREB3L1;90993
ENSG00000184254;560.6873358;-1.006924937;0.112680261;3.99E-20;2.72E-18;ALDH1A3;220
ENSG00000221968;1863.014727;0.98324606;0.110438067;4.31E-20;2.93E-18;FADS3;3995
ENSG00000159212;757.3518715;1.023946831;0.114626937;4.42E-20;2.99E-18;CLIC6;54102
ENSG00000185745;237.7155935;-1.625875424;0.183733014;4.47E-20;3.01E-18;IFIT1;3434
ENSG00000113719;6814.387314;0.732892934;0.081612052;4.67E-20;3.13E-18;ERGIC1;57222
ENSG00000162878;1588.440341;1.522881554;0.173631284;5.40E-20;3.62E-18;PKDCC;91461
ENSG00000170775;213.791994;1.457017874;0.164557279;5.46E-20;3.64E-18;GPR37;2861
ENSG00000108830;158.263285;-2.30584162;0.265908969;7.20E-20;4.78E-18;RND2;8153
ENSG00000174697;115.9653677;2.955568466;0.341595983;8.07E-20;5.34E-18;LEP;3952
ENSG00000116962;9435.925614;1.447249326;0.165773148;8.27E-20;5.45E-18;NID1;4811
ENSG00000115419;3865.241394;1.168486563;0.132958655;9.99E-20;6.56E-18;GLS;2744
ENSG00000114853;3379.391749;0.737141719;0.08276339;1.01E-19;6.60E-18;ZBTB47;92999
ENSG00000154262;2397.118091;0.998050589;0.113193967;1.15E-19;7.46E-18;ABCA6;23460
ENSG00000137393;158.2849498;2.073559085;0.238931078;1.15E-19;7.46E-18;RNF144B;255488
ENSG00000165802;1601.760383;0.924449588;0.105055076;1.31E-19;8.48E-18;NSMF;26012
