;baseMean;log2FoldChange;lfcSE;pvalue;padj;symbol;entrez
ENSG00000270945;0.331080225;-0.005592937;0.30877318;0.892764918;NA;NA;NA
ENSG00000105968;1401.493642;0.01081546;0.082590691;0.892872249;0.95558029;H2AZ2;94239
ENSG00000168496;116.9732814;0.019203347;0.16025742;0.892880919;0.95558029;FEN1;2237
ENSG00000187066;8.648126903;0.016426955;0.279260362;0.892915026;0.95558029;TMEM262;100130348
ENSG00000229388;2.836204922;-0.010975019;0.296981093;0.892937482;NA;LINC01715;105378616
ENSG00000273335;6.217768075;-0.012454654;0.291146124;0.892941173;0.95558029;NA;NA
ENSG00000173805;0.752517966;-0.003813763;0.308445525;0.892961777;NA;HAP1;9001
ENSG00000232460;109.5853561;-0.018955978;0.16903635;0.892968911;0.95558029;NA;NA
ENSG00000197808;90.56521514;0.019971211;0.170600321;0.893041076;0.955584177;ZNF461;92283
ENSG00000137857;26.83242492;-0.019681936;0.244638581;0.893078755;0.955584177;DUOX1;53905
ENSG00000253553;0.801881247;-0.002842075;0.308033821;0.893137854;NA;NA;NA
ENSG00000213144;63.53269732;-0.019247321;0.197215925;0.893193532;0.955650161;NA;NA
ENSG00000161958;17.81516165;0.017706302;0.265723619;0.893302711;0.955710148;FGF11;2256
ENSG00000164841;1.223166727;-0.007302613;0.304945166;0.893397263;NA;TMEM74;157753
ENSG00000221643;2.689416434;0.01057725;0.298142766;0.89340794;NA;SNORA77;677843
ENSG00000259516;6.105491801;-0.012670632;0.289265549;0.893419486;0.955778254;ANP32AP1;723972
ENSG00000130055;2.991415822;-0.010967586;0.296617946;0.893440875;NA;GDPD2;54857
ENSG00000258903;0.951051462;0.001357768;0.3072618;0.893498628;NA;NA;NA
ENSG00000242866;3.511802168;-0.010697399;0.296545379;0.893570588;NA;STRC;161497
ENSG00000227199;11.99564061;-0.016635213;0.272928915;0.893580388;0.955893556;ST7-AS1;93653
ENSG00000232377;1.454454297;-0.006169657;0.304786638;0.893736542;NA;LOC101928386;101928386
ENSG00000163785;1651.322269;0.009767971;0.081994334;0.893767678;0.955984028;RYK;6259
ENSG00000130830;294.3785489;-0.016608543;0.143495346;0.893771218;0.955984028;MPP1;4354
ENSG00000239617;1.237289209;0.006467316;0.305815754;0.893812892;NA;NA;NA
ENSG00000226209;1.669828689;0.004039914;0.306313722;0.893871608;NA;NA;NA
ENSG00000272250;2.10484698;-0.007556633;0.302523873;0.893976955;NA;NA;NA
ENSG00000227726;1.593994757;0.007590555;0.303009872;0.893981644;NA;NA;NA
ENSG00000119321;1223.205913;0.010981668;0.08689591;0.893991512;0.956162819;FKBP15;23307
ENSG00000259065;41.83026786;-0.019319283;0.239397808;0.894132142;0.95625639;NA;NA
ENSG00000182319;167.9372899;0.020206445;0.195122126;0.894313706;0.956360088;NA;NA
ENSG00000214629;0.52459059;0.000569781;0.308848364;0.894341603;NA;NA;NA
ENSG00000253336;0.52459059;0.000569781;0.308848364;0.894341603;NA;NA;NA
ENSG00000198569;12.65821096;0.017505257;0.269694676;0.894360356;0.956360088;SLC34A3;142680
ENSG00000101019;709.0112617;-0.012565257;0.098900006;0.894388549;0.956360088;UQCC1;55245
ENSG00000224490;1.602931454;-0.006485861;0.304220691;0.89442467;NA;NA;NA
ENSG00000110852;170.8109501;0.01864206;0.163598281;0.894453075;0.956372252;CLEC2B;9976
ENSG00000214558;184.6568776;0.016937;0.142570319;0.894520356;0.956387362;NA;NA
ENSG00000259590;0.814844809;0.001976812;0.308385031;0.894613784;NA;NA;NA
ENSG00000103510;462.1748597;0.012925169;0.107198526;0.894641773;0.956460345;KAT8;84148
ENSG00000180638;1.563873544;-0.006731365;0.303877913;0.894803255;NA;SLC47A2;146802
ENSG00000175920;0.961571422;-0.006572228;0.305703987;0.894826663;NA;DOK7;285489
ENSG00000258424;5.734718846;0.013295989;0.287345876;0.895041407;0.956830744;NA;NA
ENSG00000237799;1.597168417;-0.007006414;0.303586087;0.895108694;NA;NA;NA
ENSG00000237586;1.431451;0.00337603;0.306059214;0.895144087;NA;NA;NA
ENSG00000130768;0.301467229;-0.006250443;0.308636458;0.895144945;NA;SMPDL3B;27293
ENSG00000131737;0.301467229;-0.006250443;0.308636458;0.895144945;NA;KRT34;3885
ENSG00000168959;0.301467229;-0.006250443;0.308636458;0.895144945;NA;GRM5;2915
ENSG00000201372;0.301467229;-0.006250443;0.308636458;0.895144945;NA;NA;NA
ENSG00000218233;0.301467229;-0.006250443;0.308636458;0.895144945;NA;NA;NA
ENSG00000223787;0.301467229;-0.006250443;0.308636458;0.895144945;NA;NA;NA
ENSG00000224220;0.301467229;-0.006250443;0.308636458;0.895144945;NA;NA;NA
ENSG00000232333;0.301467229;-0.006250443;0.308636458;0.895144945;NA;NA;NA
ENSG00000235532;0.301467229;-0.006250443;0.308636458;0.895144945;NA;LINC00402;100507612
ENSG00000236180;0.301467229;-0.006250443;0.308636458;0.895144945;NA;NA;NA
ENSG00000236440;0.301467229;-0.006250443;0.308636458;0.895144945;NA;NA;NA
ENSG00000239043;0.301467229;-0.006250443;0.308636458;0.895144945;NA;SNORD127;100113389
